X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
414,162,906,870,36,0,0,5.4,0,60,0.75,28,63.34
414,162,906,870,36,0,0,5.4,0,60,0.75,91,69.48
414,162,899,864,36,0,0,6.08,0.5,60,0.75,7,53.43
414,162,899,864,36,0,0,6.08,0.5,60,0.75,28,66.87
414,162,899,864,36,0,0,6.08,0.5,60,0.75,91,73
414,162,893,858,36,0,0,6.3,1,60,0.75,7,56.35
414,162,893,858,36,0,0,6.3,1,60,0.75,28,69.97
414,162,893,858,36,0,0,6.3,1,60,0.75,91,75.93
300,167,894,845,0,0,200,4.75,0,0,0,28,42.09
300,167,894,845,0,0,200,4.75,0.8,30,0.6,28,46.98
300,167,894,845,0,0,200,4.75,1.6,30,0.6,28,34.06
300,167,894,845,0,0,200,4.75,2,30,0.6,28,49.16
300,167,894,845,0,0,200,4.75,2.4,30,0.6,28,46.19
300,167,894,845,0,0,200,4.75,2.6,30,0.6,28,45.22
300,167,894,845,0,0,200,4.75,3,30,0.6,28,37.16
300,167,894,845,0,0,200,4.75,3.4,30,0.6,28,46.76
300,167,894,845,0,0,200,4.75,0.8,50,1,28,47.37
300,167,894,845,0,0,200,4.75,1.6,50,1,28,41.31
300,167,894,845,0,0,200,4.75,2,50,1,28,46.45
300,167,894,845,0,0,200,4.75,2.4,50,1,28,43.8
300,167,894,845,0,0,200,4.75,2.6,50,1,28,40.57
300,167,894,845,0,0,200,4.75,3,50,1,28,41.77
300,167,894,845,0,0,200,4.75,3.4,50,1,28,44.48
300,167,894,845,0,0,200,4.75,2,30,0.5,28,44.58
300,167,894,845,0,0,200,4.75,2.17,30,0.5,28,46.23
300,167,894,845,0,0,200,4.75,2.5,30,0.5,28,48.64
300,167,894,845,0,0,200,4.75,0.67,60,1,28,50.09
300,167,894,845,0,0,200,4.75,1.33,60,1,28,38.24
300,167,894,845,0,0,200,4.75,1.67,60,1,28,48.11
300,167,894,845,0,0,200,4.75,2,60,1,28,44.32
300,167,894,845,0,0,200,4.75,2.17,60,1,28,48.84
300,167,894,845,0,0,200,4.75,2.5,60,1,28,44.61
300,167,894,845,0,0,200,4.75,2.83,60,1,28,49.76
300,167,894,845,0,0,200,4.75,0.57,35,0.5,28,45.46
300,167,894,845,0,0,200,4.75,1.14,35,0.5,28,49.25
300,167,894,845,0,0,200,4.75,1.43,35,0.5,28,46.06
300,167,894,845,0,0,200,4.75,1.71,35,0.5,28,47.63
300,167,894,845,0,0,200,4.75,1.86,35,0.5,28,43.17
300,167,894,845,0,0,200,4.75,2.14,35,0.5,28,42.85
300,167,894,845,0,0,200,4.75,2.43,35,0.5,28,52.82
300,167,894,845,0,0,200,4.75,0.4,50,0.5,28,43.4
